Date,Open,High,Low,Close,Volume,daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,Positive Return
2019-03-28,139.02,139.24,136.75,137.35,13222.47865232,-0.01293568091987074,138.1877164695146,138.23440574930297,0.0,-1.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2019-03-29,137.35,143.0,136.87,142.71,27335.95100738,0.039024390243902474,139.90825683994404,139.77826280881277,1.0,0.0,-1.0,0.03674131867083962,0.03674131867083963,1.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0
2019-03-30,142.74,145.49,139.63,142.01,25780.58060212,-0.004905052203770022,140.54744148092877,140.36552810360658,1.0,0.0,1.0,0.027694978954342905,0.027908674740172387,1.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0
2019-03-31,142.11,142.14,140.13,141.29,7464.44608891,-0.005070065488345876,140.73968904495564,140.5634551751253,1.0,0.0,1.0,0.022779946467398535,0.02345809229751582,1.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0
2019-04-01,141.07,143.0,138.6,141.05,30807.37377791,-0.0016986340151460277,140.81082030064206,140.6517306180934,1.0,0.0,1.0,0.019178148338674515,0.020336994659686435,1.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0
2019-04-02,141.01,167.76,140.77,164.62,121757.68073699,0.1671038638780573,145.77335373610265,144.44182799017432,1.0,0.0,1.0,0.07811986170051578,0.07127098291318076,0.0,-1.0,1.0,,,,,0.0,0.0,0.0,1.0
2019-04-03,164.43,180.0,153.42,161.3,164618.08079024,-0.020167658850686387,148.77267706309877,146.81337814679725,1.0,0.0,1.0,0.07354915295856142,0.06775414113141184,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,0.0
2019-04-04,161.05,165.2,153.53,157.51,70707.18204617,-0.02349659020458783,150.35937910069472,148.17317095570812,1.0,0.0,1.0,0.06892797299995268,0.06468913322433685,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,0.0
2019-04-05,157.62,168.39,156.21,165.72,48340.92978776,0.052123674687321486,153.01061073114386,150.2138785398513,1.0,0.0,1.0,0.06352600300518357,0.06128810064954326,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,1.0
2019-04-06,165.79,173.18,156.0,165.44,57005.36815983,-0.0016895969104513409,155.0671736786779,151.85012626281727,1.0,0.0,1.0,0.058380223333468206,0.057899128062837375,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0,0.0
