date,date,text,Compound,Positive,Negative,Neutral
2021-03-20,2021-03-20,Can Bitcoin (BTC) rise faster than Ethereum (ETH) and XRP in the upcoming pump?,0.0,0.0,0.0,1.0
2021-03-20,2021-03-20,ETH price is eyeing to test its ATH as the second-largest cryptocurrency price pattern moved out of forming a Head and Shoulder pattern seeing a trend reversal on the bullish side. A crypto analyst who goes by the Twitter name of Crypto Wolf pointed towards the failed Head and Shoulders pattern and predicted that ETH The post Analyst Predicts ETH Price Breakout to $2500 As HS Pattern Reverses appeared first on Coingape.,-0.5106,0.0,0.046,0.954
2021-03-20,2021-03-20,"Ethereum network's mining difficulty peaked to a new all-time-high 5,950,622,727,915,080, breaking the previous ATH of 5,946,888,973,277,870. The rising mining difficulty comes at a time when there is a lot of discussion around Ethereum's rising gas fee and traders shifting to other platforms.",-0.5859,0.0,0.115,0.885
2021-03-20,2021-03-20,"Join Cointelegraph senior editor Alex Cohen and dive into the history, drama, and technological innovation behind the 1inch project in this exclusive Cointelegraph interview. 0:00 Intro 1:25 When did you realize the crypto industry needs a DEX aggregator?",0.6625,0.159,0.0,0.841
2021-03-20,2021-03-20,"On Thursday (March 18), popular New Zealand-based crypto analyst and influencer Lark Davis (@TheCryptoLark on Twitter) talked about the reasons for his bullishness on Ethereum (ETH). Davis started by talking about the supply of Ethereum: “First, let's start off by talking about the supply of Ethereum right now. This week, we had the second biggest Ethereum outflow […]",0.4215,0.047,0.0,0.953
2021-03-21,2021-03-21,"Despite bitcoin's recent success, some fear that central bank digital currencies (CBDCs) could be ""Kryptonite"" for bitcoin and similar cryptocurrencies—while ethereum apps and upgrades could help it to stay ahead...",-0.542,0.075,0.173,0.752
2021-03-21,2021-03-21,"Ethereum (ETH/USD) continues to orbit the 1750 level following recent gyrations below the psychologically-important 2000 figure.    Traders have lifted ETH/USD more than 140% year-to-date, pushing the pair as high as the 2041.42 level, a fresh all-time high.",0.3182,0.062,0.0,0.938
2021-03-21,2021-03-21,"Rich Dad Poor Dad author Robert Kiyosaki says he is racing to buy Bitcoin, Ethereum, and precious metals as the economy weakens. In a new Rich Dad Radio Show podcast episode, the best-selling author and entrepreneur says that while he does not wish to argue over which store of value asset is superior, he is […] The post Rich Dad Poor Dad Author Says He's Buying Bitcoin and Ethereum, Economy Is Screwed appeared first on The Daily Hodl.",0.8996,0.242,0.136,0.622
2021-03-21,2021-03-21,"The upcoming Berlin update contains EIPs aimed at reducing transaction costs, but it may not provide a long-term solution.",-0.3491,0.0,0.126,0.874
2021-03-21,2021-03-21,Bots are primed to snap up the last MoonCats yet to be minted into existence. And where's the fun in that?,0.5106,0.142,0.0,0.858
