date,event_name
2021-03-22,Unconfirmed Report From Court Hearing May Have Sparked XRP Rally
2021-03-22,"Bitcoin Hits $100,000 in Turkish P2P Markets as Lira Plummets"
2021-03-20,Binance Smart Chain hit by $2.4 Million TurtleDex exit scam
2021-03-19,Latin America Gets its First Bitcoin ETF
2021-03-19,Meitu Buys $50 Million worth of Bitcoin and Ethereum
2021-03-18,Lindsay Lohan to Release Exclusive NFT Collectibles on TRON
2021-03-18,Bank of America slams Bitcoin in research note
2021-03-17,Morgan Stanley to offer Bitcoin to their richest investors
2021-03-17,US judge denies request to add XRP holders as intervenors in SEC's lawsuit
2021-03-17,VISA says it's developing a Bitcoin and crypto business
2021-03-17,"Grayscale offers five new crypto trusts based on BAT, LINK, FIL, MANA, LPT"
2021-03-16,Ripple Asks Court to Force SEC to Produce Documents Regarding Bitcoin and Ethereum
2021-03-16,Bitcoin falls after weekend rally tops $61K
2021-03-15,Americans could spend $40 Billion in stimulus on bitcoin
2021-03-15,"Another DeFi Hack: PancakeSwap, Cream Finance Websites Compromised"
2021-03-15,India To Introduce All Out Cryptocurrency Ban Targeting Miners and Traders: Report
2021-03-13,"Bitcoin Reaches New All-Time High, Taps $60,000"
2021-03-13,Microstrategy Purchases Additional 262 Bitcoin for $15 Million
2021-03-12,Binance reportedly under CFTC investigation over US-based trading activity
2021-03-12,U.S. SEC Now Seeks Personal Information of Ripple Executives In Lawsuit Investigation
2021-03-11,"Bitcoin breaks $57,000 as on-chain data turns “mostly bullish”"
2021-03-10,"Ripple settles with YouTube, but XRP fails to react"
2021-03-10,Grayscale Parent DCG Buying $250 Million Worth of GBTC
2021-03-10,JPMorgan launching 'crypto exposure basket' featuring MicroStrategy and Square
2021-03-09,MoneyGram and Ripple part ways over XRP lawsuit
2021-03-08,PayPal Confirms Curv Acquisition
2021-03-08,Norwegian investment firm allocates $58M to Bitcoin and crypto ventures
2021-03-05,MicroStrategy Snaps Up Another $10 Million in Bitcoin
2021-03-04,"Bitcoin dips below $50,000 even as a “sell-side crisis” emerges"
2021-03-04,Dallas Mavericks now accepting Dogecoin as payment
2021-03-04,Ripple CEO Gives Two Reasons to Dismiss SEC Lawsuit
2021-03-04,Enjin Introduces Scaling Solutions to Support NFT Growth
2021-03-03,"Bullish Bitcoin finally breaks $50,000"
2021-03-02,"Bitfarms Buys Another 48,000 MicroBT Miners"
2021-03-02,Shark Tank's Kevin O'Leary allocates 3% of portfolio to Bitcoin
2021-03-02,"MoneyGram Slapped With Lawsuit Over Ripple, XRP Partnership"
2021-03-02,Crypto.com to sponsor Aston Martin's Formula 1 team
2021-03-02,Cboe Applies to List Vaneck Bitcoin ETF through SEC Filing
2021-03-01,Goldman Sachs reopens Cryptocurrency trading desk
2021-03-01,Fidelity's Global Macro head recommends Bitcoin investment
2021-03-01,Tezos Gets Integrated Into Computational Tool Wolfram Alpha
2021-03-01,MicroStrategy Adds $15 Million to Its Bitcoin Treasury
2021-03-01,"Bitcoin is at a ""tipping point,"" Citi says"
2021-02-28,Bitcoin Falls Below $44k As Crypto Prices Continue to Slide
2021-02-26,Grayscale Considering 23 Cryptocurrencies for New Investment Products
2021-02-26,FD7 initiates conversion of BTC assets to ADA and DOT
2021-02-25,Coinbase Files S-1 With the U.S. SEC to Go Public
2021-02-24,Craig Wright Sues Bitcoin Devs to Retrieve £3.5B in ‘Stolen' BTC
2021-02-24,CoinShares Launches Ethereum-Backed ETP Worth $75 Million
2021-02-24,MicroStrategy Scoops Up $1 Billion Worth of Bitcoin
2021-02-24,Square announces $170M bitcoin buy
2021-02-23,US Secretary of Treasure Yellen Says Bitcoin is Inefficient for Transactions
2021-02-23,Tether And Bitfinex Settle With the New York Attorney General's Office
2021-02-22,MoneyGram suspends partnership with Ripple
2021-02-22,XRP jumps ahead of Ripple-US SEC hearing today
2021-02-22,"Bitcoin falls below $50,000, hits lowest since mid-February"
2021-02-20,"Ethereum price eclipses $2,000 for All-time High"
2021-02-20,"Bitcoin Hits fresh high above $55,000, showing sustained momentum"
2021-02-19,"OKCoin Bans Bitcoin Cash, BSV Citing ‘Misinformation War'"
2021-02-19,MicroStrategy raises USD 1B to buy more Bitcoin
2021-02-19,Bitcoin hits $1 trillion market cap
2021-02-19,Binance Coin flips Tether to become third-largest cryptocurrency by market cap
2021-02-19,Elon Musk: Bitcoin Is 'Less Dumb' Than Cash
2021-02-19,The Motley Fool makes $5 Million Bitcoin investment
2021-02-18,Bill Gates Takes a “Neutral” Stance on Bitcoin
2021-02-18,"Binance Coin (BNB) Gains Nearly 1,900% Since March Lows"
2021-02-18,"Ethereum (ETH) Targets $2,000 after Trading Sideways"
2021-02-17,"Bitcoin hits $52,000, reaching new all-time high"
2021-02-17,Asset manager BlackRock ‘is starting to dabble' in Bitcoin market
2021-02-17,MicroStrategy Ups Its New Mega Bitcoin Deal to Over USD 1B
2021-02-17,Dubai Free Zone Becomes First UAE Government Entity to Accept Bitcoin
2021-02-17,German Cannabis Company Bets on Bitcoin Instead of the Euro
2021-02-17,"Microsoft has no plans to make Tesla-like move into Bitcoin, says president"
2021-02-16,Settlement not in the cards in SEC vs. Ripple case
