date,event_name,Compound,Positive,Negative,Neutral
2020-12-05,New Congressional Bill Seeks to Regulate Stablecoins,0.0,0.0,0.0,1.0
2020-12-05,Apple Co-Founder Launches New Ethereum Token,0.0,0.0,0.0,1.0
2020-12-07,Biden Administration Likely to Embrace Crypto to Make US More Competitive: Circle CEO,0.5095,0.281,0.0,0.719
2020-12-07,G7 Nations Express ‘Strong Support' For Crypto Regulation,0.4019,0.278,0.0,0.722
2020-12-08,MicroStrategy will issue $400 million in securities to buy more Bitcoin,0.296,0.18,0.0,0.82
2020-12-08,Facebook may face a lawsuit over its crypto project's rebranding,-0.2263,0.0,0.192,0.808
2020-12-08,Square Puts $10 Million Toward a Cleaner Bitcoin Ecosystem,0.1779,0.195,0.0,0.805
2020-12-10,French Finance Ministry confirms that stricter rules are coming for the crypto sector,0.0,0.0,0.0,1.0
2020-12-10,Crypto exchange Bitso raises $62 million as it eyes expansion in Brazil,0.0,0.0,0.0,1.0
2020-12-10,JPMorgan: Gold's Price Could Suffer As Bitcoin Started Taking Its Market Share,-0.3182,0.14,0.223,0.637
2020-12-10,Fidelity Set to Accept Bitcoin for Cash Loans,0.3818,0.271,0.0,0.729
2020-12-10,Singapore's largest bank DBS sets up crypto exchange platform,0.0,0.0,0.0,1.0
2020-12-10,Insurance firm MassMutual buys $100 million worth of bitcoin,0.2263,0.192,0.0,0.808
2020-12-11,MicroStrategy Completes $650 Million Raise to Buy More Bitcoin,0.0,0.0,0.0,1.0
2020-12-14,China not planning to replace global fiat with digital yuan,0.0,0.0,0.0,1.0
2020-12-14,JPMorgan Estimates Institutions Could Put $600 Billion Into Bitcoin,0.0,0.0,0.0,1.0
2020-12-14,CEO of DeFi Insurer Nexus Mutual Hacked for $8M in NXM Tokens,-0.4019,0.0,0.197,0.803
2020-12-14,Ukrainian billionaire's steel factory in Kentucky is mining Bitcoin,0.0,0.0,0.0,1.0
2020-12-15,Italian Banca Generali to debut crypto services next year,0.0,0.0,0.0,1.0
2020-12-15,Pornhub Only Accepts Crypto for its Premium Membership,0.3182,0.247,0.0,0.753
2020-12-15,SBI Financial Acquires UK Crypto Trading Desk B2C2,0.0,0.0,0.0,1.0
2020-12-15,Ruffer Is the Latest Billion-Dollar Firm to Bet on Bitcoin,0.0,0.0,0.0,1.0
2020-12-16,Bitcoin breaks another major level as price crosses $20000!,0.0,0.0,0.0,1.0
2020-12-17,Bitcoin Surges Above $22K,0.0,0.0,0.0,1.0
2020-12-17,Crypto firm Paxos raises $142 million in latest funding round,0.0,0.0,0.0,1.0
2020-12-17,Crypto Exchange Coinbase Is Officially Going Public,0.0,0.0,0.0,1.0
2020-12-18,FinCEN proposes new KYC rules for crypto wallets,0.0,0.0,0.0,1.0
2020-12-18,Coinbase chooses Goldman Sachs to handle upcoming IPO,0.0,0.0,0.0,1.0
2020-12-19,"Bitcoin rallies towards $24,000 as market-wide uptrend continues",0.0,0.0,0.0,1.0
2020-12-20,Dogecoin (DOGE) up 20% on the day after Elon Musk tweet,0.0,0.0,0.0,1.0
2020-12-21,MicroStrategy Completes $650 Million Bitcoin Buy,0.0,0.0,0.0,1.0
2020-12-21,Scaramucci's SkyBridge launching a Bitcoin Fund,0.0,0.0,0.0,1.0
2020-12-22,SEC plans to Sue Ripple,0.0,0.0,0.0,1.0
2020-12-22,SEC Charges Ripple With $1.3 Billion Unregistered Security Offering,0.0772,0.209,0.183,0.609
